Small Unit Installation Postcode,Previous Years (2001-2019) - Installations Quantity,Previous Years (2001-2019) - SGU Rated Output In kW,Jan 2020 - Installations Quantity,Jan 2020 - SGU Rated Output In kW,Feb 2020 - Installations Quantity,Feb 2020 - SGU Rated Output In kW,Mar 2020 - Installations Quantity,Mar 2020 - SGU Rated Output In kW,Apr 2020 - Installations Quantity,Apr 2020 - SGU Rated Output In kW,May 2020 - Installations Quantity,May 2020 - SGU Rated Output In kW,Jun 2020 - Installations Quantity,Jun 2020 - SGU Rated Output In kW,Jul 2020 - Installations Quantity,Jul 2020 - SGU Rated Output In kW,Aug 2020 - Installations Quantity,Aug 2020 - SGU Rated Output In kW,Sep 2020 - Installations Quantity,Sep 2020 - SGU Rated Output In kW,Oct 2020 - Installations Quantity,Oct 2020 - SGU Rated Output In kW,Nov 2020 - Installations Quantity,Nov 2020 - SGU Rated Output In kW,Dec 2020 - Installations Quantity,Dec 2020 - SGU Rated Output In kW,Jan 2021 - Installations Quantity,Jan 2021 - SGU Rated Output In kW,Feb 2021 - Installations Quantity,Feb 2021 - SGU Rated Output In kW,Mar 2021 - Installations Quantity,Mar 2021 - SGU Rated Output In kW,Apr 2021 - Installations Quantity,Apr 2021 - SGU Rated Output In kW,May 2021 - Installations Quantity,May 2021 - SGU Rated Output In kW,June 2021 - Installations Quantity,June 2021 - SGU Rated Output In kW,July 2021 - Installations Quantity,July 2021 - SGU Rated Output In kW,Installations Quantity Total,SGU Rated Output In kW Total
0,4,4.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,4,4.46
200,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0.08
800,95,"2,021.05",1,26.46,1,9.1,0,0,0,0,2,72.98,1,6.6,2,108.84,0,0,2,170.16,1,39.77,1,92.13,0,0,0,0,1,35.2,1,6.63,1,6.66,1,33,1,61.05,1,25.16,112,"2,714.79"
801,7,134.868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99.99,0,0,0,0,0,0,0,0,0,0,0,0,,,8,234.858
803,2,11.685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,11.685
804,14,68.95,0,0,0,0,0,0,1,9.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,15,78.31
810,"2,670","16,371.49",55,350.845,69,449.66,53,366.59,43,383.96,61,400.335,60,404.255,50,351.405,43,287.57,35,259.815,19,308.67,34,460.31,31,202.95,11,121.905,21,187.585,32,224.85,15,144.25,23,149.69,11,76.705,4,59.88,"3,340","21,562.72"
811,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,9
812,"1,411","8,362.80",30,190.377,46,302.64,31,204.895,42,290.905,50,320.68,35,219.435,27,182.815,29,188.67,20,138.14,16,109.14,19,111.46,15,159.785,14,173.23,16,101.69,10,67.27,9,59.61,14,88.86,4,45.72,5,34.235,"1,843","11,352.36"
813,6,78.949,0,0,0,0,1,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,7,85.549
814,3,13.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.18,0,0,0,0,0,0,0,0,,,4,18.24
820,810,"8,216.32",21,157.695,29,216.03,14,190.935,25,226.81,32,286.425,30,427.21,31,308.56,17,126.33,17,109.12,15,371.655,8,238.01,10,77.635,5,43.26,14,247.485,13,142.85,9,68.9,7,49.335,9,85.49,4,32.97,"1,120","11,623.02"
821,7,156.303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,7,156.303
822,681,"7,422.35",13,94.38,18,126.595,15,155.945,13,101.69,18,165.85,20,169.775,10,88.415,5,40.84,22,219.945,25,241.925,8,111.53,18,180.035,6,53.985,5,48.295,6,58.17,7,66.3,11,134.875,6,79.6,3,19.4,910,"9,579.90"
828,165,"2,345.26",3,22.5,10,187.695,4,32.9,5,100.59,6,61.395,3,22.15,5,128.515,2,47.27,4,77.94,2,13.1,4,24.26,8,172.79,1,6.66,9,127.335,8,114.02,7,46.035,3,26.49,4,24.02,2,12.81,255,"3,593.73"
829,26,718.225,0,0,2,47.79,0,0,1,9.135,0,0,1,32.69,0,0,0,0,1,19.8,0,0,1,9.24,2,35.5,2,18.5,0,0,0,0,0,0,0,0,0,0,,,36,890.88
830,"1,565","9,391.25",27,192.765,31,193.955,42,275.295,42,266.95,41,329.01,26,173.765,27,182.54,16,107.305,19,118.85,19,118.885,28,410.935,23,270.315,16,153.72,22,138.555,15,124.72,4,29.09,11,79.25,8,49.62,5,72.58,"1,987","12,679.36"
831,9,38.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,9,38.98
832,"1,841","10,737.04",42,273.78,40,256.43,32,215.905,38,244.475,47,303.405,33,219.17,32,219.835,25,166.44,18,119.47,17,112.08,29,207.31,19,125.57,23,147.39,25,156.59,23,153.195,11,77.46,18,119.82,11,92.11,8,73.5,"2,332","14,020.97"
834,177,"1,186.91",0,0,1,9.3,4,35.46,5,34.575,11,96.16,7,51.385,4,31.085,2,15.23,3,30.25,4,33.95,3,57.29,4,26.93,2,21.97,2,15.1,3,21.685,1,6.63,2,39.07,3,23.88,,,238,"1,736.86"
835,382,"2,356.05",9,66.565,13,158.73,6,42.125,9,64.35,10,84.18,14,110.44,8,62.6,8,52.35,6,48.69,1,5.28,9,58.42,6,76.73,2,15.9,4,32.13,3,11.45,0,0,6,41.5,2,19,1,6.66,499,"3,313.15"
836,946,"6,248.29",21,150.375,21,167.675,23,181.315,19,157.18,22,176.645,19,156.91,21,160.645,19,148.26,12,91.28,11,86.785,5,55.57,2,35.55,4,26.75,10,69.165,9,117.47,5,29.67,7,60.605,4,38.955,1,13.32,"1,181","8,172.41"
837,48,374.931,2,13,2,17.4,0,0,5,144.14,0,0,0,0,0,0,0,0,0,0,3,25.05,0,0,0,0,0,0,0,0,0,0,1,9.25,1,9.24,1,14.8,,,63,607.811
838,92,624.087,4,34.17,1,6.6,0,0,4,31.585,4,36.4,2,18.34,2,15.7,0,0,1,9.24,3,22.44,2,18.34,3,84.74,0,0,1,34.65,0,0,1,9.1,1,9.25,1,6.6,1,9.24,123,970.482
839,15,320.02,1,6.615,0,0,1,6.65,0,0,0,0,0,0,3,51.28,0,0,1,39.96,0,0,0,0,0,0,1,6.6,0,0,0,0,0,0,2,44.405,0,0,,,24,475.53
840,94,559.39,0,0,2,13.215,1,9.295,1,6.6,2,13.86,2,15.855,3,25.155,1,6.615,1,6.6,2,15.7,0,0,0,0,0,0,2,8.48,1,9.24,0,0,0,0,0,0,,,112,690.005
841,54,511.525,0,0,2,18.6,0,0,2,15.815,3,118,1,9.24,1,6.6,0,0,2,18.6,1,9.24,0,0,2,16.96,0,0,0,0,0,0,0,0,2,18.11,1,9.1,,,71,751.79
845,62,510.396,1,6.49,2,13,1,10.4,1,10.89,1,6.6,0,0,0,0,0,0,1,19.8,0,0,1,6.66,0,0,0,0,1,8.25,1,6.6,1,6.65,1,8.58,1,5.76,,,75,620.076
846,40,270.65,1,9.145,1,9.3,1,2.64,0,0,0,0,0,0,0,0,0,0,0,0,1,6.615,0,0,0,0,0,0,0,0,1,6.6,0,0,1,6.66,1,6.6,,,47,318.21
847,12,176.345,1,1.32,0,0,1,6.49,2,47.6,0,0,0,0,0,0,2,13.5,0,0,1,9.25,1,6.6,1,4.2,0,0,0,0,0,0,1,6.6,0,0,0,0,1,4.44,23,276.345
850,524,"4,692.47",10,130.85,16,115.61,16,169.565,10,106.23,10,81.81,46,232.155,10,90.82,17,88.98,39,133.65,41,139.865,29,138.79,7,46.81,6,45.41,9,61.375,6,44.71,7,46.56,10,95.99,6,41.25,3,26.64,822,"6,529.54"
851,45,264.175,0,0,0,0,0,0,0,0,0,0,0,0,1,61.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,46,325.375
852,115,"1,290.34",5,135.92,2,14.89,1,6.3,1,9.1,6,87.02,3,23.76,0,0,6,41.28,2,15.54,2,71.94,4,55.24,3,128.04,1,11.1,1,9.25,0,0,1,4.44,5,22.5,2,18.12,1,10.36,161,"1,955.14"
853,1,2.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,2.65
854,10,139.395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19.8,0,0,0,0,1,30,0,0,0,0,0,0,,,14,189.195
860,110,623.379,0,0,0,0,1,6.6,5,33,0,0,0,0,0,0,1,9,3,25.08,0,0,0,0,0,0,0,0,0,0,2,39.44,0,0,0,0,4,21.12,7,72.89,133,830.509
861,18,106.495,3,15.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14.52,,,24,136.115
862,27,293.33,0,0,0,0,5,23.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,33,366.59
870,"2,264","13,000.47",18,228.255,21,138.494,31,191.945,14,97.105,34,258.675,19,138.4,23,433.59,17,229.3,26,224.855,14,155.31,13,102.92,19,331.48,4,94.97,10,117.78,13,93.5,12,100.625,20,188.95,23,159.25,3,16.62,"2,598","16,302.50"
871,57,407.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,57,407.38
872,152,"1,699.34",3,30.19,1,78.21,5,120.82,0,0,0,0,3,17.37,2,12.32,2,18.73,0,0,0,0,0,0,1,6.6,0,0,5,157.72,8,110.53,10,50.58,2,24.98,3,15.54,,,197,"2,342.93"
873,91,651.514,3,17.995,3,22.44,2,18.28,2,13.11,7,54.22,3,22.44,6,36.79,0,0,4,26.4,2,14.21,4,29.95,4,73.8,0,0,1,6.63,0,0,1,6.66,3,19.98,0,0,,,136,"1,014.42"
874,14,114.87,0,0,1,6.6,1,6.49,0,0,0,0,0,0,1,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.29,0,0,1,6.66,,,19,147.51
875,94,555.476,1,6.6,0,0,5,32.905,3,19.4,6,39.4,0,0,1,6.32,1,6.615,5,69.89,3,20.89,5,36.53,1,6.57,0,0,3,20.24,0,0,2,14.43,0,0,2,13.32,,,132,848.586
880,22,228.491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,23,239.201
