Small Unit Installation Postcode,Previous Years (2001-2019) - Installations Quantity,Previous Years (2001-2019) - SGU Rated Output In kW,Jan 2020 - Installations Quantity,Jan 2020 - SGU Rated Output In kW,Feb 2020 - Installations Quantity,Feb 2020 - SGU Rated Output In kW,Mar 2020 - Installations Quantity,Mar 2020 - SGU Rated Output In kW,Apr 2020 - Installations Quantity,Apr 2020 - SGU Rated Output In kW,May 2020 - Installations Quantity,May 2020 - SGU Rated Output In kW,Jun 2020 - Installations Quantity,Jun 2020 - SGU Rated Output In kW,Jul 2020 - Installations Quantity,Jul 2020 - SGU Rated Output In kW,Aug 2020 - Installations Quantity,Aug 2020 - SGU Rated Output In kW,Sep 2020 - Installations Quantity,Sep 2020 - SGU Rated Output In kW,Oct 2020 - Installations Quantity,Oct 2020 - SGU Rated Output In kW,Nov 2020 - Installations Quantity,Nov 2020 - SGU Rated Output In kW,Dec 2020 - Installations Quantity,Dec 2020 - SGU Rated Output In kW,Jan 2021 - Installations Quantity,Jan 2021 - SGU Rated Output In kW,Feb 2021 - Installations Quantity,Feb 2021 - SGU Rated Output In kW,Mar 2021 - Installations Quantity,Mar 2021 - SGU Rated Output In kW,Apr 2021 - Installations Quantity,Apr 2021 - SGU Rated Output In kW,May 2021 - Installations Quantity,May 2021 - SGU Rated Output In kW,Jun 2021 - Installations Quantity,Jun 2021 - SGU Rated Output In kW,Jul 2021 - Installations Quantity,Jul 2021 - SGU Rated Output In kW,Aug 2021 - Installations Quantity,Aug 2021 - SGU Rated Output In kW,Installations Quantity Total,SGU Rated Output In kW Total
4670,"14,214","59,314.03",105,789.01,122,"1,031.45",159,"1,232.52",161,"1,334.99",115,879.65,164,"1,300.23",123,947.57,123,"1,008.95",128,999.045,155,"1,324.96",138,"1,033.67",154,"1,479.46",93,736.475,114,"1,101.59",160,"1,188.56",148,"1,117.48",119,991.945,124,"1,074.23",121,935.44,79,602.55,"16,819","80,423.77"
6210,"13,698","46,373.08",93,578.84,107,632.74,169,987.18,142,818.195,92,582.03,121,747.805,130,780.12,138,864.02,157,"1,103.87",205,"1,284.21",153,974.05,176,"1,152.39",137,845.81,199,"1,207.07",196,"1,344.68",147,963.13,136,877.395,160,"1,027.27",165,"1,019.29",76,509.09,"16,597","64,672.25"
4655,"13,009","51,399.93",120,881.37,125,874.035,123,"1,016.84",138,"1,028.80",106,881.14,111,756.14,129,906.368,146,978.725,170,"1,115.06",127,889.985,140,"1,001.37",120,968.5,91,686.79,127,"1,008.18",151,"1,079.43",135,982.385,124,945.512,136,975.07,113,791.65,69,551.26,"15,510","69,718.51"
3029,"10,527","47,976.22",270,"1,804.49",262,"1,822.20",199,"1,487.28",149,"1,026.30",181,"1,732.30",196,"1,588.10",242,"1,635.95",56,489.82,9,288.74,167,"1,322.53",416,"2,956.37",345,"2,272.32",255,"1,832.51",219,"1,479.61",330,"2,804.84",272,"1,873.10",241,"1,629.83",284,"1,929.55",307,"2,397.97",107,752.975,"15,034","81,102.96"
4551,"11,430","42,270.25",113,811.19,131,844.145,143,"1,009.18",110,799.97,129,870.34,148,"1,130.35",185,"1,379.02",177,"1,307.83",157,"1,240.41",164,"1,116.86",152,"1,116.83",135,"1,144.77",118,844.445,150,"1,119.22",158,"1,431.66",131,964.16,142,"1,096.60",132,"1,002.78",114,843.36,85,657.705,"14,204","63,001.04"
6065,"10,776","47,612.77",133,832.425,117,751.13,104,712.41,94,642.62,108,772.03,126,926.755,141,964.005,226,"1,430.79",150,"1,018.03",149,"1,029.78",160,"1,196.65",202,"1,421.43",113,730.635,111,737.405,144,"1,025.84",135,925.035,173,"1,374.12",148,"1,114.80",98,707.82,73,477.545,"13,481","66,404.00"
3977,"10,121","42,415.90",190,"1,190.91",217,"1,377.16",180,"1,106.70",106,759.93,148,977.88,175,"1,246.32",232,"1,666.40",43,293.625,9,98.305,193,"1,449.42",322,"2,297.64",260,"1,892.53",181,"1,217.81",176,"1,149.15",217,"1,516.21",189,"1,369.02",144,"1,071.39",160,"1,151.68",189,"1,370.66",63,508.315,"13,515","66,126.93"
4350,"10,922","49,104.03",77,645.38,102,767,115,"1,159.12",104,929.435,106,"1,154.08",124,"1,264.37",128,"1,198.83",118,"1,077.75",134,988.485,154,"1,097.19",115,"1,198.24",124,"1,322.82",118,863.025,127,991.905,119,972.35,125,"1,005.18",109,991.59,102,881.06,110,834.355,72,592.805,"13,205","69,038.98"
6112,"9,649","40,669.24",99,632.43,127,832.675,124,786.29,90,571.41,106,665.305,180,"1,141.55",147,993.325,170,"1,111.14",195,"1,250.05",205,"1,323.84",171,"1,156.41",176,"1,253.85",137,912.79,127,940.595,155,963.336,145,923.405,136,906.12,103,652.93,121,785.645,121,769.58,"12,484","59,241.90"
6164,"9,119","36,451.51",84,712.905,117,704.565,117,837.085,99,776.41,113,684.525,116,708.845,120,963.935,132,946.445,151,986.38,211,"1,295.87",149,957.42,151,"1,016.74",125,809.645,124,857.33,187,"1,158.89",153,"1,026.59",125,839.75,115,899.145,129,868.88,99,606.68,"11,736","54,109.54"
4740,"9,346","50,162.37",78,649.67,94,746.14,133,"1,108.21",114,985.215,105,"1,199.35",95,987.905,102,778.915,108,764.865,106,897.865,97,831.015,145,"1,427.89",127,"1,341.58",85,696.975,109,861.735,133,"1,252.36",97,907.43,120,981.035,103,"1,018.70",126,"1,028.09",93,776.175,"11,516","69,403.47"
4300,"8,135","36,156.39",117,869.275,113,810.9,150,"1,058.63",108,873.605,104,780.28,135,"1,156.36",148,"1,129.46",167,"1,403.99",152,"1,259.97",154,"1,190.75",119,"1,128.58",170,"1,483.12",196,"1,445.03",288,"1,928.06",326,"2,300.95",307,"2,251.76",263,"1,900.68",215,"1,818.07",197,"1,558.37",133,"1,050.60","11,697","63,554.78"
3030,"8,374","37,111.25",182,"1,212.32",185,"1,197.42",150,"1,007.15",117,848.5,131,912.805,166,"1,221.54",191,"1,397.11",40,300.395,4,45.06,109,825.16,288,"2,098.29",250,"1,846.85",187,"1,232.13",181,"1,238.98",228,"1,567.30",172,"1,259.10",163,"1,242.76",193,"1,301.00",201,"1,444.30",76,513.535,"11,588","59,822.92"
4211,"9,293","40,068.45",76,574.8,95,686.775,93,683.925,79,705.025,87,714.265,112,834.995,100,826.085,93,800.545,99,796.005,114,"1,003.29",107,"1,086.16",113,"1,148.92",97,841.56,108,897.715,71,673.145,82,693.96,74,576.085,79,690.655,97,941.155,60,555.285,"11,129","55,798.79"
4207,"8,867","40,964.07",70,584.57,106,766.75,129,911.72,99,936.485,98,"1,119.05",115,"1,372.06",126,"1,031.61",126,"1,144.68",100,834.54,116,882.62,124,"1,207.94",112,889.285,113,"1,014.48",111,"1,035.34",125,"1,108.57",113,"1,008.35",129,"1,313.69",103,"1,072.22",116,"1,381.06",86,695.045,"11,084","61,274.10"
3064,"6,718","30,351.87",198,"1,346.25",223,"1,494.68",192,"1,320.89",131,894.48,192,"1,327.83",233,"1,689.32",345,"2,379.16",56,395.34,8,77.52,190,"1,336.10",418,"3,069.60",360,"2,649.84",239,"1,660.55",242,"1,778.57",259,"1,806.36",248,"1,800.67",214,"1,601.24",282,"2,049.00",274,"1,993.54",95,729.265,"11,117","61,752.04"
4510,"8,453","36,282.51",97,609.535,100,668.325,93,650.51,104,787.5,102,876.06,129,870.54,117,795.125,117,807.425,128,985.42,112,852.765,117,"1,032.57",108,885.69,91,653.09,106,828.39,144,"1,104.05",115,960.76,93,954.465,102,893.48,90,807.365,68,588.74,"10,586","52,894.31"
6155,"8,597","34,208.38",70,457.82,75,620.395,77,508.465,71,460.43,64,442.52,109,736.395,122,927.21,85,572.595,93,650.445,142,"1,062.83",152,"1,020.48",146,"1,097.45",101,711.845,103,786.545,105,707.03,92,791.91,98,726.745,88,775.795,95,737.61,56,362.095,"10,541","48,364.99"
4570,"8,629","36,900.95",90,605.22,91,645.53,89,642.48,95,719.015,97,763.64,95,803.75,106,807.955,103,791.415,116,"1,070.87",93,774.03,106,844.05,103,983.08,64,548.695,82,734.015,94,858.965,83,694.115,87,740.434,95,870.67,85,679.495,62,569.42,"10,465","52,047.79"
4305,"8,540","31,943.78",81,572.81,77,539.895,66,439.83,95,718.505,78,548.52,67,467.06,86,570.685,92,678.415,81,620.855,86,595.04,80,933.025,64,556.445,68,484.73,94,664.135,95,714.375,99,780.34,78,761.75,70,551.21,71,597.945,40,315.54,"10,108","44,054.89"
4306,"7,992","35,030.40",83,601.195,75,634.41,99,759.395,85,724.07,67,540.27,94,728.01,102,841.295,101,847.92,106,876.21,98,839.83,91,763.19,113,"1,062.16",102,782.365,135,"1,220.06",140,"1,130.62",123,900.84,144,"1,125.93",130,"1,104.03",132,"1,042.23",87,754.83,"10,099","52,309.24"
2480,"7,476","31,232.34",93,708.9,81,552.995,115,885.12,98,755.46,137,741.08,125,962.43,129,979.78,95,696.29,113,944.53,116,956.675,120,"1,018.24",89,754.82,75,570.215,119,850.51,89,642.925,85,643.805,77,629.07,84,624.903,83,668.755,48,380.36,"9,447","46,199.20"
4556,"7,600","29,942.37",64,463.57,59,425.77,77,603.565,66,531.115,58,505.915,69,644.73,91,732.785,95,734.915,96,791.77,83,664.515,96,914.54,86,943.215,59,476.705,86,643.31,81,688.185,76,668.97,83,588.81,72,594.93,76,599.535,44,378.065,"9,117","42,537.29"
2830,"7,525","30,718.36",46,373.1,65,499.555,101,"1,205.95",57,432.3,58,461.625,62,432.235,77,675.51,68,526.805,64,487.975,80,661.5,91,806.045,92,980.765,47,349.72,102,824.75,75,554.87,102,737.235,102,624.245,63,508.895,89,720.71,18,196.285,"8,984","42,778.43"
4209,"6,467","32,044.50",118,879.235,132,"1,033.44",141,"1,011.01",115,937.105,116,914.605,124,878.14,149,"1,235.37",125,983.775,140,"1,185.96",140,"1,056.17",159,"1,412.80",148,"1,384.08",112,872.04,143,"1,203.53",158,"1,269.95",127,"1,089.56",148,"1,230.89",138,"1,133.26",136,"1,216.11",112,975.975,"9,148","53,947.47"
4680,"7,276","33,089.66",85,554.095,96,799.945,72,661.43,61,478.53,79,619.8,97,839.915,85,586.22,83,577.87,92,670.38,64,537.8,91,664.91,66,708.565,67,530.4,92,670.665,70,597.415,83,677.95,66,648.145,64,627.51,65,554.97,47,352.82,"8,801","45,448.99"
6069,"6,892","28,354.82",73,468.13,135,849.135,120,811.215,88,512.675,65,417.495,88,558.07,99,632.44,137,848.975,113,722.405,107,675.26,76,491.04,140,819.55,103,690.52,82,525.96,102,668.51,63,410.24,75,476.91,121,761.055,79,529.54,62,421.67,"8,820","40,645.62"
4870,"7,104","39,117.94",55,462.755,68,589.52,91,"1,104.39",80,"1,079.89",62,911.585,82,791.17,100,"1,038.85",85,912.305,90,941.325,103,935.39,99,"1,140.47",124,"1,400.27",55,570.815,86,895.485,83,846.09,57,568.61,72,722.61,85,961.225,87,819,60,680.02,"8,728","56,489.71"
4500,"7,193","32,062.35",54,404.6,63,584.155,65,506.59,65,547.08,55,475.86,65,616.805,89,782.38,65,516.2,83,630.505,76,581.41,101,939.98,74,821.3,74,678.585,61,506.215,77,627.32,75,606.16,59,462.18,60,598.605,69,632.275,43,341.8,"8,566","43,922.36"
4165,"7,168","26,316.95",49,318.365,66,453.53,79,524.315,65,535.495,60,451.655,64,511.03,73,555.6,74,561.675,65,481.475,95,919.23,74,650.56,66,548.515,66,482.715,64,492.29,75,565.57,61,509.91,82,723.125,52,359.845,75,607.26,42,349.31,"8,515","36,918.42"
2259,"6,462","27,031.47",74,552.445,65,441.345,86,631.345,96,679.365,82,600.74,76,855.795,90,666.74,110,856.955,130,"1,102.63",96,729.955,120,"1,004.80",112,"1,027.41",76,655.18,113,961.185,116,"1,003.73",150,"1,246.02",101,855.48,89,974.325,67,696.235,80,658.96,"8,391","43,232.10"
6163,"6,701","28,269.87",66,387.4,54,495.725,66,460.03,78,590.895,64,557.915,65,403.615,124,663.33,68,426.065,89,614.39,97,724.97,92,849.065,91,758.575,64,426.855,66,473.575,92,780.96,77,512.805,76,702.33,76,498.75,61,438.595,49,332.38,"8,216","39,368.10"
2155,"5,305","24,650.72",91,643.72,106,854.32,141,955.028,104,949.115,109,945.524,130,"1,005.76",169,"1,308.87",154,"1,231.24",174,"1,424.62",157,"1,388.10",226,"1,855.48",231,"1,934.60",157,"1,318.18",208,"1,784.67",168,"1,373.79",151,"1,307.94",134,"1,189.44",122,"1,043.83",89,776.705,62,531.81,"8,188","48,473.44"
2560,"5,721","21,940.66",92,653.33,99,668.705,105,972.355,63,554.68,70,516.745,99,664.05,148,943.735,122,916.035,158,"1,196.79",104,800.855,123,"1,139.81",125,"1,089.57",113,860.64,116,"1,017.61",132,"1,091.53",192,"1,325.80",124,950.32,141,"1,002.54",89,837.78,16,137.12,"7,952","39,280.63"
2170,"5,858","27,665.55",83,581.684,96,865.26,58,534.98,75,897.315,58,423.19,123,"1,125.42",107,912.78,107,924.785,122,"1,069.13",115,"1,286.37",128,"1,229.13",152,"2,283.56",114,988.74,119,"1,243.09",123,"1,109.01",114,"1,114.44",112,917.14,132,"1,051.36",85,643.5,13,101.23,"7,894","46,967.64"
4503,"6,294","25,324.86",60,453.485,48,328.91,69,441.86,77,623.03,60,413.58,53,406.105,91,635.735,87,606.105,74,607.625,59,436.845,87,680.735,72,546.97,77,534.045,80,625.525,97,741.485,88,658.925,82,613.645,97,803.245,83,650.105,44,312.46,"7,779","36,445.28"
6110,"6,195","22,596.82",58,376.59,69,420.53,74,470.86,41,248.195,54,347.055,80,485.52,82,529.205,90,652.115,97,616.64,104,653.225,87,555.59,93,615.305,62,399.415,87,561.335,99,620.28,85,533.1,70,480.995,78,513.3,56,453.19,36,222.09,"7,697","32,351.36"
