Small Unit Installation Postcode,Previous Years (2001-2019) - Installations Quantity,Jan 2020 - Installations Quantity,Feb 2020 - Installations Quantity,Mar 2020 - Installations Quantity,Apr 2020 - Installations Quantity,May 2020 - Installations Quantity,Jun 2020 - Installations Quantity,Jul 2020 - Installations Quantity,Aug 2020 - Installations Quantity,Sep 2020 - Installations Quantity,Oct 2020 - Installations Quantity,Nov 2020 - Installations Quantity,Dec 2020 - Installations Quantity,Jan 2021 - Installations Quantity,Feb 2021 - Installations Quantity,Mar 2021 - Installations Quantity,Apr 2021 - Installations Quantity,May 2021 - Installations Quantity,June 2021 - Installations Quantity,July 2021 - Installations Quantity,Aug 2021 - Installations Quantity,Installations Quantity Total
3550,130,0,3,1,3,8,2,2,3,6,6,5,2,2,8,4,2,7,10,9,27,240
3977,151,8,4,6,7,10,29,27,6,7,3,23,19,12,10,17,23,16,32,21,25,456
4300,"2,198",16,22,21,17,11,14,23,18,22,18,13,16,10,22,23,14,28,26,26,20,"2,578"
3844,513,4,5,2,1,5,2,8,5,15,15,15,6,13,7,10,9,19,17,26,19,716
3351,225,0,0,3,3,5,6,12,12,18,23,11,10,5,13,5,14,14,8,14,18,419
3197,15,0,0,0,0,0,1,2,1,1,0,1,1,1,3,1,3,0,4,24,17,75
3585,"1,552",7,4,2,5,9,16,8,9,8,7,6,11,10,9,15,4,9,8,13,16,"1,728"
3825,598,2,3,6,6,6,10,6,8,20,22,67,15,16,24,21,20,22,19,23,16,930
3851,525,0,1,5,5,6,1,14,25,27,17,19,6,5,33,26,17,28,28,12,16,816
3971,293,1,1,3,3,2,1,7,9,10,16,3,3,6,14,17,29,10,19,20,16,483
6330,"1,148",12,15,15,7,10,13,17,20,21,13,10,13,4,11,14,13,16,11,9,16,"1,408"
3139,171,2,0,6,5,5,3,10,9,6,4,15,25,23,9,24,17,21,14,17,15,401
3875,626,8,4,6,10,11,24,14,17,36,31,36,58,35,28,18,34,22,33,32,14,"1,097"
3922,"1,110",9,11,22,59,23,31,38,44,16,19,11,22,25,25,29,9,23,23,24,14,"1,587"
3975,98,2,6,6,9,7,6,12,12,9,17,7,12,0,8,8,6,8,12,16,14,275
5253,393,6,0,4,6,4,12,24,17,10,19,3,9,8,12,8,7,13,17,20,14,606
3223,74,0,0,5,5,4,4,10,1,6,4,8,7,4,13,5,44,17,21,21,13,266
3500,593,1,0,0,9,10,14,20,0,28,9,9,6,4,5,14,13,6,41,38,13,833
3523,219,0,2,2,3,0,4,6,10,8,16,3,6,2,4,4,6,10,5,9,13,332
3020,41,0,0,0,4,2,2,2,0,2,4,3,0,4,6,6,7,1,11,18,12,125
3858,251,0,4,0,0,6,1,1,6,6,5,5,11,5,15,12,7,11,6,18,12,382
4124,552,6,6,3,7,6,14,6,14,12,13,14,8,6,6,10,10,15,14,13,12,747
5251,442,8,7,2,2,15,14,18,9,8,8,7,4,5,3,10,8,5,9,7,12,603
3579,884,4,4,0,5,6,5,10,2,11,1,2,12,2,3,8,8,3,8,10,11,999
3073,61,0,0,0,1,0,1,4,1,2,4,8,5,4,6,7,3,6,7,3,10,133
3400,172,1,0,2,0,1,3,2,2,0,0,0,0,0,10,0,9,24,30,13,10,279
3616,80,2,0,3,1,5,1,3,7,0,11,6,0,5,2,12,6,4,2,0,10,160
3810,432,4,2,7,13,8,9,15,1,3,4,8,8,6,14,12,29,29,20,27,10,661
7018,431,0,4,1,9,3,3,2,7,3,5,6,3,1,6,2,2,2,6,10,10,516
3081,28,0,0,2,0,15,6,0,3,0,3,7,6,1,2,10,6,10,6,0,9,114
3377,115,2,0,3,2,1,3,5,4,6,0,7,2,1,0,10,9,9,11,1,9,200
3568,209,0,1,0,2,2,1,2,1,0,0,1,4,1,1,5,11,11,4,12,9,277
3805,26,0,1,0,0,2,0,3,1,4,1,4,2,0,2,6,1,2,4,2,9,70
3860,153,3,3,1,1,2,2,0,4,4,6,8,7,1,8,4,15,4,7,3,9,245
3980,59,5,7,6,1,4,1,11,2,0,3,16,9,7,21,13,7,2,10,3,9,196
3995,819,1,5,4,5,8,18,25,17,16,14,22,17,30,23,18,23,29,24,11,9,"1,138"
4510,"1,382",10,12,11,23,32,10,24,14,13,21,35,14,13,11,13,19,15,13,12,9,"1,706"
5204,125,1,3,0,1,0,6,2,8,2,5,1,0,4,0,3,2,2,0,15,9,189
5211,819,6,4,5,4,9,17,19,27,7,17,5,3,3,13,16,12,12,15,18,9,"1,040"
3030,273,1,1,1,2,5,5,6,1,2,1,5,9,5,6,7,6,27,12,32,8,415
3043,28,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,2,3,8,45
3156,53,0,1,0,0,1,2,5,3,0,1,10,0,2,5,2,1,4,10,3,8,111
3173,134,0,0,0,2,0,2,3,0,1,0,2,1,1,3,0,5,8,3,4,8,177
3228,199,5,7,4,11,17,14,18,10,11,12,6,9,12,11,8,8,5,33,16,8,424
3280,192,2,1,1,2,4,4,3,6,17,10,5,6,5,10,7,12,60,9,9,8,373
3282,46,0,0,0,1,0,1,0,0,3,7,1,0,0,2,4,0,1,3,0,8,77
3337,54,4,3,0,2,5,0,0,1,2,0,6,10,4,11,4,4,3,8,0,8,129
3824,93,0,0,0,3,2,1,2,0,2,6,1,2,3,5,1,9,4,6,7,8,155
3840,225,2,3,2,5,10,6,12,5,18,8,9,6,11,8,20,17,8,5,17,8,405
3953,457,5,4,0,2,2,5,2,9,5,16,2,3,10,1,8,6,4,9,15,8,573
5112,385,2,0,20,6,7,7,9,6,18,6,2,1,2,4,10,8,8,9,18,8,536
5113,329,4,3,10,3,5,8,9,7,16,3,1,0,3,4,5,10,7,22,13,8,470
5214,492,3,4,7,7,6,11,25,12,42,57,4,2,14,8,9,7,15,7,5,8,745
