Small Unit Installation Postcode,Previous Years (2001-2019) - Installations Quantity,Jan 2020 - Installations Quantity,Feb 2020 - Installations Quantity,Mar 2020 - Installations Quantity,Apr 2020 - Installations Quantity,May 2020 - Installations Quantity,Jun 2020 - Installations Quantity,Jul 2020 - Installations Quantity,Aug 2020 - Installations Quantity,Sep 2020 - Installations Quantity,Oct 2020 - Installations Quantity,Nov 2020 - Installations Quantity,Dec 2020 - Installations Quantity,Jan 2021 - Installations Quantity,Feb 2021 - Installations Quantity,Mar 2021 - Installations Quantity,Apr 2021 - Installations Quantity,May 2021 - Installations Quantity,June 2021 - Installations Quantity,July 2021 - Installations Quantity,Aug 2021 - Installations Quantity,Installations Quantity Total
3029,"14,177",66,106,127,117,112,155,169,163,171,164,166,140,76,88,160,126,130,96,60,17,"16,586"
3064,"9,652",55,92,109,128,128,120,134,71,110,118,85,78,39,61,98,82,68,78,54,16,"11,376"
3978,"7,195",80,84,111,92,78,67,102,85,88,94,86,78,30,58,72,69,55,58,45,13,"8,640"
3030,"15,187",115,128,150,110,113,83,100,68,90,81,71,67,30,41,69,57,37,45,29,7,"16,678"
3977,"11,511",30,36,50,46,50,31,53,49,64,63,62,57,25,28,53,44,34,42,20,7,"12,355"
3336,881,18,34,32,20,21,29,46,57,82,55,67,49,31,35,77,41,40,41,21,11,"1,688"
3335,"2,429",20,27,45,47,50,51,60,71,72,59,60,54,15,35,67,57,69,39,28,12,"3,367"
3217,"3,140",38,58,57,39,32,39,62,42,52,64,66,38,25,33,57,33,43,34,35,13,"4,000"
3338,"3,749",59,69,74,85,79,76,71,72,74,59,51,53,25,35,42,42,32,34,20,9,"4,810"
3024,"4,143",26,35,57,53,42,42,44,40,32,38,41,39,25,35,43,42,34,30,27,7,"4,875"
6076,"3,776",25,11,10,19,21,16,23,18,16,10,22,22,12,22,17,14,20,30,21,7,"4,132"
3809,"3,380",28,18,32,18,29,25,25,23,19,18,35,19,21,31,43,30,18,23,24,6,"3,865"
3756,"1,756",14,19,36,43,22,19,25,19,23,21,22,26,9,14,8,32,25,21,9,11,"2,174"
6210,"6,267",14,7,8,17,14,27,20,10,11,14,21,15,19,23,22,16,27,20,13,9,"6,594"
4211,"3,029",11,4,11,4,14,8,15,16,16,12,5,7,10,17,6,6,11,18,17,4,"3,241"
4701,"2,681",3,4,3,8,10,12,20,16,29,29,27,29,21,36,35,20,28,18,21,10,"3,060"
3059,"1,659",13,32,39,28,33,28,34,32,37,42,40,36,8,11,19,13,25,17,17,4,"2,167"
3340,"2,354",10,18,21,25,30,28,21,31,31,24,28,21,6,21,34,16,18,17,5,4,"2,763"
4124,"1,269",2,4,2,1,5,5,2,3,3,1,11,8,20,29,32,31,20,17,15,12,"1,492"
4703,"1,910",9,4,6,4,12,9,26,21,18,23,18,15,12,17,11,13,19,16,14,4,"2,181"
6163,"3,520",18,16,16,23,30,23,19,14,19,17,13,16,10,12,14,13,26,16,25,11,"3,871"
6169,"2,492",6,7,6,5,22,8,21,12,8,4,12,8,7,9,9,14,11,16,6,5,"2,688"
4213,"1,753",2,4,2,2,3,4,4,3,6,17,5,3,0,3,4,4,14,15,9,5,"1,862"
6155,"3,036",8,11,11,12,12,12,17,12,9,6,4,7,12,8,10,5,12,15,10,11,"3,240"
3216,"2,826",7,19,11,9,7,13,11,8,21,14,18,10,10,14,15,13,7,14,5,3,"3,055"
3750,"2,648",26,58,42,46,51,50,46,55,50,48,37,33,13,38,34,18,27,14,9,1,"3,344"
6024,"1,120",9,3,3,4,9,2,2,4,6,2,5,2,7,8,10,10,9,14,4,4,"1,237"
3165,"1,253",9,9,8,12,2,6,11,7,7,0,8,18,4,3,7,4,0,13,9,0,"1,390"
3223,"1,084",7,25,25,18,18,14,9,18,18,15,8,8,7,12,15,11,13,13,9,2,"1,349"
3691,"1,108",3,8,11,5,3,8,5,15,15,9,14,16,12,16,11,15,9,13,8,0,"1,304"
